requirement_id,candidate_standard,standard_title,why_candidate,applicability,evidence_source,evidence_reference,selected_as_ground_truth
T001-R002,IS 15905 : 2011,Cast Iron Hubless Pipes and Fittings for Waste Water and Ventilation Systems - Specification,Direct material and product match for hubless cast iron drainage pipework,APPLICABLE_PRIMARY,BIS Catalogue / CED 53,IS 15905:2011 Scope Clause 1,TRUE
T001-R002,IS 1239 (Part 1) : 2004,"Steel Tubes, Tubulars and Other Wrought Steel Fittings - Part 1: Steel Tubes",Same scope clause specifies replacement with both Hubless and GI pipes,APPLICABLE_SECONDARY,data/standards/standards.xlsx / CED 54,IS 1239 (Part 1) Clause 1,TRUE
T001-R002,IS 1729 : 2002,"Sand cast iron spigot and socket soil, waste and ventilating pipes, fittings and accessories",Cast iron soil pipe alternative,REJECTED_DIFFERENT_DESIGN,BIS Catalogue / CED 53,"IS 1729 specifies socketed pipes, whereas requirement explicitly mandates hubless pipes",FALSE
T001-R003,IS 15622 : 2017,Pressed Ceramic Tiles - Specification (First Revision),Primary national standard governing ceramic wall and floor tiles in India,APPLICABLE_PRIMARY,BIS Catalogue / CED 5 / Ceramic Tiles QCO 2020,IS 15622:2017 Scope Clause 1 (covers ceramic tiles for interior and exterior walls),TRUE
T001-R003,IS 13753 : 1993,Dust pressed ceramic tiles with water absorption E > 10 % - Specification,Older specification for wall tiles,REJECTED_SUPERSEDED,BIS Catalogue,Superseded by IS 15622,FALSE
T001-R004,IS 2556 (Part 1 to 17),Vitreous sanitary appliances (vitreous china) - Specification,"Governs vitreous china sanitary fixtures including water closets, wash basins, and urinals",APPLICABLE_PRIMARY,BIS Catalogue / CED 3,IS 2556 (Part 1) General requirements and Part 2 (Water closets),TRUE
T001-R004,IS 781 : 1984,Cast copper alloy screw-down bib taps and stop valves for water services (Third Revision),Water supply bib taps and stopcocks required in toilet sanitary renovation,APPLICABLE_SECONDARY,BIS Catalogue / CED 3,IS 781:1984 Scope Clause 1,TRUE
T001-R004,IS 774 : 2021,Flushing cisterns for water closets and urinals (other than plastic cisterns) - Specification,Cisterns for water closets in public toilets,APPLICABLE_SECONDARY,BIS Catalogue / CED 3,IS 774:2021 Scope Clause 1,TRUE
T002-R002,IS 778 : 1984,"Copper alloy gate, globe and check valves for water works purposes (Fourth Revision)",Standard specification for industrial water valves,AMBIGUOUS_NEEDS_BOQ,BIS Catalogue / CED 3,Scope covers low-pressure water services up to PN 1.6,FALSE
T002-R002,IS 14846 : 2000,Sluice valves for water works purposes (50 to 1200 mm size) - Specification,Isolation gate/sluice valves for industrial water pipelines,AMBIGUOUS_NEEDS_BOQ,BIS Catalogue / CED 3,Heavy Water Plant line pressure/fluid rating unstated in summary notice,FALSE
