requirement_id,requirement_text,candidate_standard,standard_title,standard_status,applicability_reason,evidence,evidence_source,confidence,alternative_standards,verification_needed
T001-R002,replacement of damaged pipelines by Hubless,IS 15905 : 2011,Cast Iron Hubless Pipes and Fittings for Waste Water and Ventilation Systems - Specification,Active,"The tender explicitly specifies Hubless pipeline replacement for toilet drainage. IS 15905 is the sole national Indian Standard specifying dimensions, coatings, and elastomeric mechanical coupling joints for hubless cast iron soil/waste pipes.",Clause 1 Scope of IS 15905:2011 specifies requirements for hubless (spigotless) cast iron pipes and fittings intended for gravity wastewater and ventilation piping in buildings.,BIS Catalogue / CED 53 (Pipes & Fittings); CPWD Civil Specifications 2019 Vol 2 Chapter 17 (Clause 17.2).,High,IS 1239 (Part 1) : 2004 (Steel tubes/GI water supply pipes in same toilet block); IS 1729 : 2002 (Socketed CI pipes - rejected because hubless design is explicitly specified).,None for standard applicability. Mechanical coupling manufacturer brand (stainless steel shield coupling) may be verified from BOQ.
T001-R003,wall tiles,IS 15622 : 2017,Pressed Ceramic Tiles - Specification (First Revision),Active,Tender requires replacement of toilet wall tiles. IS 15622 is the umbrella Indian Standard governing technical properties for all pressed ceramic glazed wall tiles and vitrified tiles.,"Clause 1 Scope of IS 15622:2017 covers ceramic tiles for floor and wall finishes (water absorption groups B Ia, B Ib, B IIa, B IIb, B III); Ceramic Tiles (Quality Control) Order 2020 mandates ISI Mark.",BIS Catalogue / CED 5 (Flooring & Wall Finishing); DPIIT QCO Notification S.O. 4467(E).,High,IS 1443 : 1972 (Code of practice for laying/finishing flooring and wall tiles); IS 13753 / IS 13755 (Withdrawn/superseded).,None. Mandatory ISI Mark under Central QCO.
T001-R004,upgradation of all sanitary fittings at AGL Department in Main School Building at IIT ISM Dhanbad,IS 2556 (Part 1 to 17),Vitreous Sanitary Appliances (Vitreous China) - Specification (Parts 1 to 17),Active,"Upgradation of institutional toilet sanitary fittings centres on porcelain fixtures (water closets, wash basins, urinals) governed by IS 2556 parts.","IS 2556 Part 1 (General Requirements), Part 2 (Water Closets), Part 4 (Wash Basins); CPWD Specifications Vol 2 Section 17.",BIS Catalogue / CED 3 (Sanitary Installations); CPWD General Specifications.,High,IS 781 : 1984 (Cast copper alloy screw-down bib taps and stop valves); IS 774 : 2021 (Flushing cisterns for water closets and urinals).,Verify specific fixture types (European water closets vs Orissa pans) from tender detailed BOQ.
T002-R002,Valve Replacement,UNCERTAIN,Potential Candidates: Copper alloy gate/globe valves (IS 778) / Sluice valves for water works (IS 14846) / Bolted bonnet steel gate valves (IS/ISO 10434),Active,"Tender summary states generic Valve Replacement in Heavy Water Board mechanical maintenance without line fluid (cooling water vs process chemical vs steam), pressure class, or nominal size. Assigning one standard without BOQ schedule is speculative.","Heavy Water Board Tender Notice HWBFV/21/2026-27/TS-733, Page 1 Work Description line 1.",Heavy Water Board Tender Notice; BIS MED 17 & CED 3 catalogues.,Low,IS 778 : 1984 (Bronze valves for utility lines); IS 14846 : 2000 (Sluice valves for water works); IS/ISO 10434 : 2020 (Steel gate valves for process lines); IS 13095 : 2020 (Butterfly valves).,"MANUAL BIS / EXPERT VERIFICATION REQUIRED. Must inspect BOQ_971906.xls or tender technical schedule to confirm fluid media, pressure rating, and size."
T002-R003,Flange Joint Maintenance,IS 6392 : 1971,Steel Pipe Flanges,Active,"Mechanical maintenance of industrial pipe flange joints requires compliance with IS 6392 for flange facings, bolt circle diameters, and pressure-temperature ratings.","Clause 1 Scope of IS 6392:1971 specifies dimensional, machining, and material requirements for steel pipe flanges.",BIS Catalogue / MED 17 (Piping & Gaskets).,High,IS 2712 : 2020 (Compressed asbestos/non-asbestos jointing sheets for sealing gaskets); IS 7719 : 2021 (Metallic spiral wound gaskets).,Confirm flange rating class (PN 16 vs Class 150/300) from plant piping drawings.
T003-R001,Replacement / repair of distribution boards and defective lights at various locations in main sports stadium,IS/IEC 61439-3 : 2012,Low-voltage switchgear and controlgear assemblies - Part 3: Distribution boards intended to be operated by ordinary persons (DBO),Active,Replacing distribution boards in public sports stadium facilities requires type-tested low-voltage distribution boards conforming to IS/IEC 61439-3 (superseded older IS 8623 Part 3).,Clause 1 Scope of IS/IEC 61439-3:2012 covers enclosed DBOs for AC systems up to 250V/415V operated by non-technical persons in public buildings.,BIS Catalogue / ETD 7 (Low Voltage Switchgear); CPWD Electrical Specifications 2023.,High,"IS 10322 (Part 5 / Sec 5) : 2013 (Luminaires - Floodlights, governing the sports stadium lights); IS 16102 (LED lamps); IS 8623 Part 3 (Superseded).",Verify luminaire wattage and ingress protection (IP 65/66) from electrical BOQ.
T004-R002,power cables from outside of electrical room to AMF room,IS 7098 (Part 1) : 1988,Crosslinked Polyethylene Insulated Thermoplastic Sheathed Cables - Part 1: For Working Voltage Up to and Including 1100 V,Active,Connecting electrical substation switchrooms to Auto Mains Failure (AMF) generator changeover rooms requires heavy-duty LT armoured XLPE power cables under IS 7098 Part 1.,Clause 1 Scope of IS 7098 (Part 1):1988; Electrical Cables (Quality Control) Order 2023 mandating ISI marking for power cables.,BIS Catalogue / ETD 9 (Power Cables); Ministry of Commerce QCO.,High,IS 1255 : 1983 (Code of practice for installation/laying of power cables); IS 1554 (Part 1) : 1988 (PVC insulated cables); IS 694 (Domestic wire - rejected).,Confirm conductor material (aluminium vs copper) and core cross-section from BOQ.
T004-R005,"Dismantling,Shifting and reinstallation of feeder pillar, power",IS 5039 : 1983,Distribution Pillars for Voltages Not Exceeding 1000 V AC and 1200 V DC - Specification,Active,Tender explicitly mandates shifting and reinstalling an electrical feeder pillar. IS 5039 is the dedicated Indian Standard governing outdoor distribution pillars and busbar assemblies.,Scope Clause 1 of IS 5039:1983 covers outdoor feeder pillars used in public utility and institutional electrical networks.,BIS Catalogue / ETD 7 (Low Voltage Switchgear).,High,IS/IEC 61439-5 : 2014 (Assemblies for power distribution in public networks); IS/IEC 60529 (IP 55 enclosure protection).,Verify plinth mounting and busbar rating during site execution.
T005-R001,"Cable connection of DG Set in Newly constructed building of the Dept. of Molecular , Human Genetics",IS 3043 : 2018,Code of Practice for Earthing (Second Revision),Active,Connecting a standby DG set legally requires statutory neutral and frame earthing installations under CEA Safety Regulations and IS 3043 (Clause 28: Earthing of Generating Plants).,Clause 28 of IS 3043:2018 prescribes dedicated neutral grounding and frame earthing requirements for generator installations.,BIS Catalogue / ETD 20 (Electrical Installations); Central Electricity Authority Safety Regulations.,High,IS 7098 (Part 1) : 1988 (Heavy power cables from alternator to panel); IS 1293 : 2019 (Plugs and socket-outlets).,Confirm whether chemical earthing with bentonite compound or copper plate earthing is specified.
T006-R001,UPVC Partition Wall Work for Conversion of Seafood Authentication Laboratory into Conventional Microbiology Laboratory,IS 16088 : 2016,Unplasticized Polyvinyl Chloride (uPVC) Profiles for the Fabrication of Windows and Doors - Specification,Active,Architectural UPVC partition walls in laboratories are fabricated using extruded hollow multi-chamber UPVC profiles conforming to IS 16088.,"Clause 1 Scope of IS 16088:2016 covers raw material formulation, dimensional tolerances, impact resistance, and wall thickness for UPVC profile assemblies.",BIS Catalogue / CED 29 (Plastic Building Products).,High,IS 2835 : 1987 (Flat transparent sheet glass for vision panels in partitions); IS 15386 (Ceilings).,"Confirm panel infill material (pre-laminated sheet, toughened glass, or UPVC sandwich panel) from BOQ."
