tender_id,requirement_id,requirement_text,primary_standard,decision,dependencies_count,dependency_standards,verified_missing,potentially_missing,related_for_review,human_review_required
T001,T001-R001,"Renovation of 5 no of toilets 3 Gents and 2 Ladies incl replacement of damaged pipelines by Hubless and GI pipes,replace",IS 15622 : 2017,RECOMMEND_WITH_REVIEW,2,IS 13753; IS 13755,,,IS 13753; IS 13755,False
T001,T001-R002,replacement of damaged pipelines by Hubless,IS 15905 : 2011,REVIEW_REQUIRED,0,,,,,True
T001,T001-R003,wall tiles,IS 15622 : 2017,RECOMMEND,2,IS 13753; IS 13755,,,IS 13753; IS 13755,False
T001,T001-R004,upgradation of all sanitary fittings at AGL Department in Main School Building at IIT ISM Dhanbad,IS 781 : 1984,RECOMMEND_WITH_REVIEW,0,,,,,False
T001,T001-R005,"Renovation of 5 no of toilets 3 Gents and 2 Ladies incl replacement of damaged pipelines by Hubless and GI pipes,replace",IS 15778 : 2007,RECOMMEND_WITH_REVIEW,3,IS 12235 : 2004; IS 7634 (Part 3) : 2003; IS 4985 : 2000,,IS 12235 : 2004; IS 7634 (Part 3) : 2003,IS 4985 : 2000,False
T002,T002-R001,"Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint Main",IS 14846 : 2000,REVIEW_REQUIRED,25,IS 778 : 1984; IS 28 : 1982; IS 210 : 1993; IS 318 : 1981; IS 320 : 1980; IS 341 : 1973; IS 638 : 1979; IS 1030 : 1989; IS 1363 (Part 1) : 1992; IS 1538 : 1993; IS 1570 (Part 3) : 1979; IS 1865 : 1991; IS 2062 : 1992; IS 2535 : 1978; IS 2712 : 1979; IS 2932 : 1993; IS 3444 : 1987; IS 3658 : 1981; IS 4218 (Part 5) : 1979; IS 4687 : 1995; IS 4854 (Part 1) : 1969; IS 4905 : 1968; IS 5414 : 1995; IS 5660 : 1970; IS 6603 : 2000,,,IS 778 : 1984; IS 28 : 1982; IS 210 : 1993; IS 318 : 1981; IS 320 : 1980; IS 341 : 1973; IS 638 : 1979; IS 1030 : 1989; IS 1363 (Part 1) : 1992; IS 1538 : 1993; IS 1570 (Part 3) : 1979; IS 1865 : 1991; IS 2062 : 1992; IS 2535 : 1978; IS 2712 : 1979; IS 2932 : 1993; IS 3444 : 1987; IS 3658 : 1981; IS 4218 (Part 5) : 1979; IS 4687 : 1995; IS 4854 (Part 1) : 1969; IS 4905 : 1968; IS 5414 : 1995; IS 5660 : 1970; IS 6603 : 2000,True
T002,T002-R002,Valve Replacement,IS 14846 : 2000,REVIEW_REQUIRED,25,IS 778 : 1984; IS 28 : 1982; IS 210 : 1993; IS 318 : 1981; IS 320 : 1980; IS 341 : 1973; IS 638 : 1979; IS 1030 : 1989; IS 1363 (Part 1) : 1992; IS 1538 : 1993; IS 1570 (Part 3) : 1979; IS 1865 : 1991; IS 2062 : 1992; IS 2535 : 1978; IS 2712 : 1979; IS 2932 : 1993; IS 3444 : 1987; IS 3658 : 1981; IS 4218 (Part 5) : 1979; IS 4687 : 1995; IS 4854 (Part 1) : 1969; IS 4905 : 1968; IS 5414 : 1995; IS 5660 : 1970; IS 6603 : 2000,,,IS 778 : 1984; IS 28 : 1982; IS 210 : 1993; IS 318 : 1981; IS 320 : 1980; IS 341 : 1973; IS 638 : 1979; IS 1030 : 1989; IS 1363 (Part 1) : 1992; IS 1538 : 1993; IS 1570 (Part 3) : 1979; IS 1865 : 1991; IS 2062 : 1992; IS 2535 : 1978; IS 2712 : 1979; IS 2932 : 1993; IS 3444 : 1987; IS 3658 : 1981; IS 4218 (Part 5) : 1979; IS 4687 : 1995; IS 4854 (Part 1) : 1969; IS 4905 : 1968; IS 5414 : 1995; IS 5660 : 1970; IS 6603 : 2000,True
T002,T002-R003,Flange Joint Maintenance,IS 6392 : 1971,RECOMMEND_WITH_REVIEW,0,,,,,False
T002,T002-R004,"Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint",IS 14846 : 2000,REVIEW_REQUIRED,25,IS 778 : 1984; IS 28 : 1982; IS 210 : 1993; IS 318 : 1981; IS 320 : 1980; IS 341 : 1973; IS 638 : 1979; IS 1030 : 1989; IS 1363 (Part 1) : 1992; IS 1538 : 1993; IS 1570 (Part 3) : 1979; IS 1865 : 1991; IS 2062 : 1992; IS 2535 : 1978; IS 2712 : 1979; IS 2932 : 1993; IS 3444 : 1987; IS 3658 : 1981; IS 4218 (Part 5) : 1979; IS 4687 : 1995; IS 4854 (Part 1) : 1969; IS 4905 : 1968; IS 5414 : 1995; IS 5660 : 1970; IS 6603 : 2000,,,IS 778 : 1984; IS 28 : 1982; IS 210 : 1993; IS 318 : 1981; IS 320 : 1980; IS 341 : 1973; IS 638 : 1979; IS 1030 : 1989; IS 1363 (Part 1) : 1992; IS 1538 : 1993; IS 1570 (Part 3) : 1979; IS 1865 : 1991; IS 2062 : 1992; IS 2535 : 1978; IS 2712 : 1979; IS 2932 : 1993; IS 3444 : 1987; IS 3658 : 1981; IS 4218 (Part 5) : 1979; IS 4687 : 1995; IS 4854 (Part 1) : 1969; IS 4905 : 1968; IS 5414 : 1995; IS 5660 : 1970; IS 6603 : 2000,True
T003,T003-R001,Replacement / repair of distribution boards and defective lights at various locations in main sports stadium and elesewh,IS 10322 (Part 5 / Sec 5) : 2013,RECOMMEND_WITH_REVIEW,1,IS 8623,,,IS 8623,False
