tender_id,requirement_id,requirement_text,category,source_page,explicit_standard,applicable_standard,standard_title,standard_status,verification_outcome,verification_method,evidence_source,evidence_reference,evidence_snippet,reasoning,confidence,human_verified,reviewer_notes
T001,T001-R002,replacement of damaged pipelines by Hubless,material,1,,IS 15905 : 2011; IS 1239 (Part 1) : 2004,"Cast Iron Hubless Pipes and Fittings for Waste Water and Ventilation Systems; Steel Tubes, Tubulars and Other Wrought Steel Fittings",Active,STANDARD_MISSING,BIS_CATALOGUE,BIS Catalogue / CED 53 & CED 54,IS 15905:2011 Clause 1 Scope; IS 1239 (Part 1):2004 Clause 1 Scope,"IS 15905 specifies material, dimensions, coating, and test requirements for hubless cast iron pipes used in wastewater systems without socket joints.","The tender specifies replacement of toilet drainage piping using hubless pipes and GI pipes. IS 15905 is the definitive Indian Standard for hubless cast iron soil/waste pipes, and IS 1239 covers GI steel tubes.",High,FALSE,Hubless cast iron pipes are connected using mechanical couplings. Traditional socketed CI pipes under IS 1729 are rejected because the tender explicitly mandates hubless.
T001,T001-R003,wall tiles,material,1,,IS 15622 : 2017,Pressed Ceramic Tiles - Specification (First Revision),Active,STANDARD_MISSING,BIS_CATALOGUE,BIS Catalogue / Ministry of Commerce & Industry (Ceramic Tiles QCO 2020),IS 15622:2017 Scope Clause 1,"IS 15622 covers requirements for pressed ceramic tiles for floor and wall finishes (water absorption groups B Ia, B Ib, B IIa, B IIb, and B III). Mandatory ISI Mark under Quality Control Order.","The tender requires replacement of toilet wall and floor tiles. IS 15622 is the umbrella mandatory Indian Standard governing all pressed ceramic, glazed, and vitrified tiles for interior wall and floor finishes.",High,FALSE,Superseded earlier standards IS 13753 and IS 13755. Mandatory certification under Ceramic Tiles QCO.
T001,T001-R004,upgradation of all sanitary fittings at AGL Department in Main School Building at IIT ISM Dhanbad,product_equipment,1,,IS 2556 (Part 1 to 17); IS 781 : 1984; IS 774 : 2021,Vitreous sanitary appliances (vitreous china); Cast copper alloy screw-down bib taps and stop valves; Flushing cisterns for water closets and urinals,Active,STANDARD_MISSING,BIS_CATALOGUE,BIS Catalogue / CED 3 (Sanitary Installation),"IS 2556 (Parts 1, 2, 4); IS 781 Clause 1; IS 774 Clause 1","IS 2556 governs vitreous china fixtures (water closets, wash basins, urinals). IS 781 governs bib taps and stop valves. IS 774 specifies flushing cisterns.","Upgradation of institutional toilet sanitary fittings encompasses porcelain appliances (IS 2556), water supply bib taps/valves (IS 781), and flushing cisterns (IS 774). Multiple standards co-apply.",High,FALSE,Tender aggregates sanitaryware under a single renovation title. CPWD Specifications Volume 2 Section 17 mandate these three core standards.
T002,T002-R002,Valve Replacement,material,1,,,,,NEEDS_EXPERT_VERIFICATION,UNVERIFIED,Heavy Water Board Tender Notice HWBFV/21/2026-27/TS-733,"Page 1, Work Description: Mechanical Maintenance Works including Pumps, Valve Replacement","Tender notice summary mentions generic Valve Replacement in Heavy Water Plant chemical/mechanical services without line pressure, temperature, or fluid media details.","While IS 778 (copper alloy valves), IS 14846 (sluice valves), and IS 13095 (butterfly valves) exist in the BIS catalogue, assigning a specific standard without the detailed piping schedule/BOQ would be speculative.",Low,FALSE,Requires inspection of the detailed tender annexure (HWBFV/21/2026-27 technical schedule) to confirm whether service is cooling water (IS 14846/IS 778) or process steam/chemical (ASME/IS bolted steel gate valves).
T002,T002-R003,Flange Joint Maintenance,installation_execution,1,,IS 6392 : 1971; IS 2712 : 2020,Steel Pipe Flanges; Compressed Asbestos/Non-Asbestos Fiber Jointing Sheets - Specification,Active,STANDARD_MISSING,BIS_CATALOGUE,BIS Catalogue / MED 17,IS 6392:1971 Scope Clause 1; IS 2712:2020 Clause 1,"IS 6392 specifies dimensional, machining and tolerance requirements for steel pipe flanges. IS 2712 governs sealing gasket sheets for flanged joints.",Mechanical maintenance of pipe flange joints in an industrial plant requires compliance with IS 6392 for flange facings/bolt holes and IS 2712 for gasket replacement jointing materials.,High,FALSE,"Flanges in chemical/process piping follow standard rating classes (150, 300, 600) aligned with IS 6392 / ASME B16.5."
T003,T003-R001,Replacement / repair of distribution boards and defective lights at various locations in main sports stadium,material,1,,IS/IEC 61439-3 : 2012; IS 10322 (Part 5 / Sec 5) : 2013,Low-voltage switchgear and controlgear assemblies - Part 3: Distribution boards (DBO); Luminaires - Part 5 Particular Requirements - Section 5 Floodlights,Active,STANDARD_MISSING,BIS_CATALOGUE,BIS Catalogue / ETD 7 (Switchgear) & ETD 24 (Illumination),IS/IEC 61439-3 Clause 1; IS 10322 (Part 5/Sec 5) Clause 1,IS/IEC 61439-3 specifies distribution boards for ordinary person operation. IS 10322 (Part 5/Sec 5) covers floodlights designed for stadium and outdoor sports illumination.,Stadium electrical maintenance involves two distinct equipment classes: power distribution boards (IS/IEC 61439-3) and sports stadium floodlighting luminaires (IS 10322 Part 5 Sec 5). Both standards apply.,High,FALSE,IS/IEC 61439-3 superseded the older IS 8623 (Part 3) : 1993.
T004,T004-R002,power cables from outside of electrical room to AMF room,material,1,,IS 7098 (Part 1) : 1988; IS 1255 : 1983,Crosslinked polyethylene insulated thermoplastic sheathed cables - Part 1: For working voltage up to and including 1100 V; Code of practice for installation and maintenance of power cables,Active,STANDARD_MISSING,BIS_CATALOGUE,BIS Catalogue / ETD 9 / Electrical Cables QCO,IS 7098 (Part 1) Clause 1; IS 1255 Clause 1,"IS 7098 (Part 1) specifies armored XLPE power cables up to 1.1 kV. IS 1255 provides the national code of practice for laying, trenching and terminating power cables.",Connecting substation electrical rooms to Auto Mains Failure (AMF) generator changeover rooms requires heavy-duty XLPE LT armored power cables (IS 7098 Part 1) and proper cable laying practice (IS 1255).,High,FALSE,"Mandatory ISI Mark under Cables Quality Control Order. PVC insulated cables under IS 1554 (Part 1) are an acceptable alternative, but XLPE is CPWD standard."
T004,T004-R005,"Dismantling,Shifting and reinstallation of feeder pillar, power",product_equipment,1,,IS 5039 : 1983; IS/IEC 61439-5 : 2014,Distribution pillars for voltages not exceeding 1000 V AC and 1200 V DC - Specification; Low-voltage switchgear and controlgear assemblies - Part 5,Active,STANDARD_MISSING,BIS_CATALOGUE,BIS Catalogue / ETD 7,IS 5039:1983 Clause 1 Scope,"IS 5039 specifies design, enclosure ingress protection, and busbar performance for outdoor/indoor low voltage distribution pillars (feeder pillars).",The tender specifically mandates shifting and reinstalling an electrical feeder pillar. IS 5039 is the dedicated Indian Standard for feeder distribution pillars.,High,FALSE,Ingress protection should conform to IP 55 under IS/IEC 60529 for outdoor pillars.
T005,T005-R001,"Cable connection of DG Set in Newly constructed building of the Dept. of Molecular , Human Genetics",material,1,,IS 3043 : 2018; IS 7098 (Part 1) : 1988; IS 1293 : 2019,Code of practice for earthing; Crosslinked polyethylene insulated cables; Plugs and socket-outlets of rated voltage up to 250 V,Active,STANDARD_MISSING,BIS_CATALOGUE,BIS Catalogue / ETD 20 (Earthing) & ETD 9 (Cables),IS 3043:2018 Clause 28 (Earthing of generating plants); IS 1293 Scope Clause 1,IS 3043 mandates independent neutral earthing and body earthing for DG sets. IS 7098 (Part 1) specifies the power cables. IS 1293 covers power sockets replaced in the room.,"Connecting a Diesel Generator set requires dedicated generator earthing (IS 3043), high-current XLPE cables (IS 7098 Part 1), and power sockets (IS 1293) specified in the tender title.",High,FALSE,Central Electricity Authority (CEA) Regulations 2010 mandate strict compliance with IS 3043 for generating units.
T006,T006-R001,UPVC Partition Wall Work for Conversion of Seafood Authentication Laboratory into Conventional Microbiology Laboratory,material,1,,IS 16088 : 2016,Unplasticized Polyvinyl Chloride (uPVC) Profiles for the Fabrication of Windows and Doors - Specification,Active,STANDARD_MISSING,BIS_CATALOGUE,BIS Catalogue / CED 29 (Plastic Building Components),IS 16088:2016 Scope Clause 1,"IS 16088 specifies raw materials, mechanical properties, weather resistance and wall thickness for unplasticized PVC profiles used in architectural partitions, windows and frames.",The tender requires fabrication of internal partition walls using UPVC profiles for a cleanroom/microbiology laboratory. IS 16088 is the Bureau of Indian Standards specification for structural UPVC profile systems.,High,FALSE,Prefinished UPVC multi-chamber hollow profiles are standard in wet/sterile marine laboratory partitions.
