Tender ID,Tender Title,Product,Technical Requirement,Mentioned Standard,Page,Evidence,Potential Standard Issue,Human Verified,Expected/Applicable Standard,Verification Evidence,Verification Source,Reviewer Notes
T001,"Renovation of 5 no of toilets 3 Gents and 2 Ladies incl replacement of damaged pipelines by Hubless and GI pipes,replacement of floor and wall tiles and upgradation of all sanitary fittings at AGL Department in Main School Building at IIT ISM Dhanbad",Civil Works,"Renovation of 5 no of toilets 3 Gents and 2 Ladies incl replacement of damaged pipelines by Hubless and GI pipes,replacement of floor and wall tiles and upgradation of all sanitary fittings at AGL Department in Main School Building at IIT ISM Dhanbad",,1,"Title/Scope: Renovation of 5 no of toilets 3 Gents and 2 Ladies incl replacement of damaged pipelines by Hubless and GI pipes,replacement of floor and wall tiles and upgradation of all sanitary fittings at AGL Department in Main School Building at IIT ISM Dhanbad",,FALSE,,,,
T001,"Renovation of 5 no of toilets 3 Gents and 2 Ladies incl replacement of damaged pipelines by Hubless and GI pipes,replacement of floor and wall tiles and upgradation of all sanitary fittings at AGL Department in Main School Building at IIT ISM Dhanbad",Civil Works,replacement of damaged pipelines by Hubless,,1,Clause from Scope: replacement of damaged pipelines by Hubless,,FALSE,,,,
T001,"Renovation of 5 no of toilets 3 Gents and 2 Ladies incl replacement of damaged pipelines by Hubless and GI pipes,replacement of floor and wall tiles and upgradation of all sanitary fittings at AGL Department in Main School Building at IIT ISM Dhanbad",Civil Works,wall tiles,,1,Clause from Scope: wall tiles,,FALSE,,,,
T001,"Renovation of 5 no of toilets 3 Gents and 2 Ladies incl replacement of damaged pipelines by Hubless and GI pipes,replacement of floor and wall tiles and upgradation of all sanitary fittings at AGL Department in Main School Building at IIT ISM Dhanbad",Civil Works,upgradation of all sanitary fittings at AGL Department in Main School Building at IIT ISM Dhanbad,,1,Clause from Scope: upgradation of all sanitary fittings at AGL Department in Main School Building at IIT ISM Dhanbad,,FALSE,,,,
T001,"Renovation of 5 no of toilets 3 Gents and 2 Ladies incl replacement of damaged pipelines by Hubless and GI pipes,replacement of floor and wall tiles and upgradation of all sanitary fittings at AGL Department in Main School Building at IIT ISM Dhanbad",Civil Works,"Renovation of 5 no of toilets 3 Gents and 2 Ladies incl replacement of damaged pipelines by Hubless and GI pipes,replacement",,1,"Page 1 line: Renovation of 5 no of toilets 3 Gents and 2 Ladies incl replacement of damaged pipelines by Hubless and GI pipes,replacement",,FALSE,,,,
T002,"Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint Maintenance, Heat Exchanger Maintenance, NDT and Allied Mechanical Works at Heavy Water Board Facilities, Vadodara.",Machineries/ Mechanical Engg Items,"Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint Maintenance, Heat Exchanger Maintenance, NDT and Allied Mechanical Works at Heavy Water Board Facilities, Vadodara.",,1,"Title/Scope: Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint Maintenance, Heat Exchanger Maintenance, NDT and Allied Mechanical Works at Heavy Water Board Facilities, Vadodara.",,FALSE,,,,
T002,"Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint Maintenance, Heat Exchanger Maintenance, NDT and Allied Mechanical Works at Heavy Water Board Facilities, Vadodara.",Machineries/ Mechanical Engg Items,Valve Replacement,,1,Clause from Scope: Valve Replacement,,FALSE,,,,
T002,"Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint Maintenance, Heat Exchanger Maintenance, NDT and Allied Mechanical Works at Heavy Water Board Facilities, Vadodara.",Machineries/ Mechanical Engg Items,Flange Joint Maintenance,,1,Clause from Scope: Flange Joint Maintenance,,FALSE,,,,
T002,"Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint Maintenance, Heat Exchanger Maintenance, NDT and Allied Mechanical Works at Heavy Water Board Facilities, Vadodara.",Machineries/ Mechanical Engg Items,"Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint",,1,"Page 1 line: Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint",,FALSE,,,,
T003,Replacement / repair of distribution boards and defective lights at various locations in main sports stadium and elesewhere in IIT Kanpur,Electrical Works Sub category Electrical works,Replacement / repair of distribution boards and defective lights at various locations in main sports stadium and elesewhere in IIT Kanpur,,1,Title/Scope: Replacement / repair of distribution boards and defective lights at various locations in main sports stadium and elesewhere in IIT Kanpur,,FALSE,,,,
T003,Replacement / repair of distribution boards and defective lights at various locations in main sports stadium and elesewhere in IIT Kanpur,Electrical Works Sub category Electrical works,Replacement / repair of distribution boards and defective lights at various locations in main sports stadium and elesewhere in,,1,Page 1 line: Replacement / repair of distribution boards and defective lights at various locations in main sports stadium and elesewhere in,,FALSE,,,,
T003,Replacement / repair of distribution boards and defective lights at various locations in main sports stadium and elesewhere in IIT Kanpur,Electrical Works Sub category Electrical works,Replacement / repair of distribution boards and defective lights at various locations in main sports stadium and elsewhere in IIT,,1,Document Specification: Replacement / repair of distribution boards and defective lights at various locations in main sports stadium and elsewhere in IIT,,FALSE,,,,
T003,Replacement / repair of distribution boards and defective lights at various locations in main sports stadium and elesewhere in IIT Kanpur,Electrical Works Sub category Electrical works,Contractdocument,,2,Document Specification: Contractdocument,,FALSE,,,,
T004,"Dismantling,Shifting and reinstallation of feeder pillar, power cables from outside of electrical room to AMF room, internal electrical maintenance work at common coridoor, toilets, replacement of faulty 2x2 celing light of seminar and multipurpose",Electrical Works,"Dismantling,Shifting and reinstallation of feeder pillar, power cables from outside of electrical room to AMF room, internal electrical maintenance work at common coridoor, toilets, replacement of faulty 2x2 celing light of seminar and multipurpose",,1,"Title/Scope: Dismantling,Shifting and reinstallation of feeder pillar, power cables from outside of electrical room to AMF room, internal electrical maintenance work at common coridoor, toilets, replacement of faulty 2x2 celing light of seminar and multipurpose",,FALSE,,,,
T004,"Dismantling,Shifting and reinstallation of feeder pillar, power cables from outside of electrical room to AMF room, internal electrical maintenance work at common coridoor, toilets, replacement of faulty 2x2 celing light of seminar and multipurpose",Electrical Works,power cables from outside of electrical room to AMF room,,1,Clause from Scope: power cables from outside of electrical room to AMF room,,FALSE,,,,
T004,"Dismantling,Shifting and reinstallation of feeder pillar, power cables from outside of electrical room to AMF room, internal electrical maintenance work at common coridoor, toilets, replacement of faulty 2x2 celing light of seminar and multipurpose",Electrical Works,"Dismantling,Shifting and reinstallation of feeder pillar, power cables from outside of electrical room to AMF room, internal",,1,"Page 1 line: Dismantling,Shifting and reinstallation of feeder pillar, power cables from outside of electrical room to AMF room, internal",,FALSE,,,,
T004,"Dismantling,Shifting and reinstallation of feeder pillar, power cables from outside of electrical room to AMF room, internal electrical maintenance work at common coridoor, toilets, replacement of faulty 2x2 celing light of seminar and multipurpose",Electrical Works,"electrical maintenance work at common coridoor, toilets, replacement of faulty 2x2 celing light of seminar and multipurpose",,1,"Page 1 line: electrical maintenance work at common coridoor, toilets, replacement of faulty 2x2 celing light of seminar and multipurpose",,FALSE,,,,
T004,"Dismantling,Shifting and reinstallation of feeder pillar, power cables from outside of electrical room to AMF room, internal electrical maintenance work at common coridoor, toilets, replacement of faulty 2x2 celing light of seminar and multipurpose",Electrical Works,"Dismantling,Shifting and reinstallation of feeder pillar, power",,2,"Document Specification: Dismantling,Shifting and reinstallation of feeder pillar, power",,FALSE,,,,
T004,"Dismantling,Shifting and reinstallation of feeder pillar, power cables from outside of electrical room to AMF room, internal electrical maintenance work at common coridoor, toilets, replacement of faulty 2x2 celing light of seminar and multipurpose",Electrical Works,replacement of faulty 2x2 celing light of seminar and,,2,Page 2 line: replacement of faulty 2x2 celing light of seminar and,,FALSE,,,,
T005,"Cable connection of DG Set in Newly constructed building of the Dept. of Molecular , Human Genetics and Electrical renovation work including replacement of old Power Sockets in Algal Culture Room, Old Building in Department of Botany, BHU",Electrical Works,"Cable connection of DG Set in Newly constructed building of the Dept. of Molecular , Human Genetics and Electrical renovation work including replacement of old Power Sockets in Algal Culture Room, Old Building in Department of Botany, BHU",,1,"Title/Scope: Cable connection of DG Set in Newly constructed building of the Dept. of Molecular , Human Genetics and Electrical renovation work including replacement of old Power Sockets in Algal Culture Room, Old Building in Department of Botany, BHU",,FALSE,,,,
