tender_id,requirement_id,requirement_text,category,source_page,explicit_standard,applicable_standard,standard_title,standard_status,applicability_classification,reasoning,confidence,evidence_source,evidence_reference,reviewer_notes
T001,T001-R002,replacement of damaged pipelines by Hubless,material,1,,IS 15905 : 2011; IS 1239 (Part 1) : 2004,"Cast Iron Hubless Pipes and Fittings for Waste Water and Ventilation Systems - Specification; Steel Tubes, Tubulars and Other Wrought Steel Fittings - Part 1: Steel Tubes",Active,A. DIRECTLY_APPLICABLE (IS 15905 primary for Hubless CI pipes; IS 1239 Part 1 for GI pipes in same scope),The tender mandates replacing damaged toilet drainage piping with Hubless pipes and GI pipes. IS 15905 is the sole national specification for cast iron hubless (spigot-less) pipes and mechanical couplings for waste water. IS 1239 (Part 1) covers the water supply GI tubes.,High,BIS Catalogue / CED 53 (Pipes & Fittings) & CED 54 (Steel Tubes),IS 15905:2011 Clause 1 Scope; IS 1239 (Part 1):2004 Clause 1 Scope,Co-applicable standard family. Traditional socketed cast iron pipe under IS 1729 was evaluated and rejected because hubless design was explicitly specified.
T001,T001-R003,wall tiles,material,1,,IS 15622 : 2017; IS 1443 : 1972,Pressed Ceramic Tiles - Specification (First Revision); Code of practice for laying and finishing of cement concrete flooring tiles,Active,A. DIRECTLY_APPLICABLE (IS 15622 for ceramic tiles product; IS 1443 for tile fixing/laying practice),"The tender requires replacement of toilet wall and floor tiles. IS 15622 is the mandatory Indian Standard governing all pressed ceramic, glazed, and vitrified tiles for wall and floor applications. IS 1443 governs bedding and jointing practice.",High,BIS Catalogue / Ministry of Commerce & Industry (Ceramic Tiles QCO 2020),IS 15622:2017 Scope Clause 1; Gazette Notification S.O. 4467(E),Mandatory ISI Mark certification under Ceramic Tiles Quality Control Order 2020. Superseded earlier standards IS 13753 and IS 13755.
T001,T001-R004,upgradation of all sanitary fittings at AGL Department in Main School Building at IIT ISM Dhanbad,product_equipment,1,,IS 2556 (Part 1 to 17); IS 781 : 1984; IS 774 : 2021,Vitreous sanitary appliances (vitreous china) - Specification; Cast copper alloy screw-down bib taps and stop valves; Flushing cisterns for water closets and urinals,Active,"A. DIRECTLY_APPLICABLE (Multi-standard assembly covering porcelain fixtures, water taps, and flushing cisterns)","Renovation of 5 institutional toilets involves three distinct sub-assemblies: porcelain appliances such as water closets and basins (IS 2556), water supply bib/stop valves (IS 781), and cisterns (IS 774). All three co-apply.",High,BIS Catalogue / CED 3 (Sanitary Installations) / CPWD Specifications Vol 2 Sec 17,IS 2556:Part 1:1994 Clause 1; IS 781:1984 Clause 1; IS 774:2021 Clause 1,Tender aggregates sanitaryware under a single title. Evaluation should accept any or all of these 3 standards as valid ground truth matches.
T002,T002-R002,Valve Replacement,material,1,,IS 778 : 1984 [Potential]; IS 14846 : 2000 [Potential]; IS/ISO 10434 : 2020 [Potential],"Copper alloy gate, globe and check valves; Sluice valves for water works; Bolted bonnet steel gate valves for petroleum/petrochemical/allied industries",Active,E. INSUFFICIENT_INFORMATION (Requires detailed piping schedule/fluid media from underlying BOQ),"The tender notice summary states generic mechanical valve replacement in Heavy Water Plant Baroda. In a nuclear chemical facility, cooling water valves follow IS 778/IS 14846, whereas chemical/steam process lines require steel gate/globe valves. Assigning a definitive standard without the line specification is ungrounded.",Low,Heavy Water Board Tender Notice HWBFV/21/2026-27/TS-733,Notice summary Work Description line 1,"QUEUED FOR MANUAL/EXPERT REVIEW. Must inspect detailed BOQ file BOQ_971906 or NIT schedule to verify operating fluid, pressure class, and nominal bore."
T002,T002-R003,Flange Joint Maintenance,installation_execution,1,,IS 6392 : 1971; IS 2712 : 2020,Steel Pipe Flanges; Compressed Asbestos/Non-Asbestos Fiber Jointing Sheets - Specification,Active,A. DIRECTLY_APPLICABLE (IS 6392 for steel pipe flanges dimensions; IS 2712 for gasket replacement jointing sheets),"Mechanical maintenance of process pipe flange joints requires compliance with IS 6392 for flange dimensions, bolt hole alignments and facing finishes, and IS 2712 for joint gasket replacement materials.",High,BIS Catalogue / MED 17 (Piping and Flanges),IS 6392:1971 Scope Clause 1; IS 2712:2020 Scope Clause 1,Flanges in Indian industrial process plants align with IS 6392 and ASME B16.5 rating classes.
T003,T003-R001,Replacement / repair of distribution boards and defective lights at various locations in main sports stadium,material,1,,IS/IEC 61439-3 : 2012; IS 10322 (Part 5 / Sec 5) : 2013,Low-voltage switchgear and controlgear assemblies - Part 3: Distribution boards intended to be operated by ordinary persons (DBO); Luminaires - Particular Requirements - Section 5 Floodlights,Active,A. DIRECTLY_APPLICABLE (Dual-scope requirement: DBs follow IS/IEC 61439-3; sports floodlights follow IS 10322 Part 5 Sec 5),"The tender specifies both distribution boards and stadium lighting. Distribution boards in public/institutional buildings must conform to IS/IEC 61439-3, while stadium lighting luminaires and floodlights conform to IS 10322 (Part 5/Sec 5).",High,BIS Catalogue / ETD 7 (Switchgear) & ETD 24 (Illumination),IS/IEC 61439-3 Clause 1; IS 10322 (Part 5/Sec 5) Clause 1,Superseded standard IS 8623 (Part 3):1993 was evaluated and rejected in favor of the current harmonized standard IS/IEC 61439-3.
T004,T004-R002,power cables from outside of electrical room to AMF room,material,1,,IS 7098 (Part 1) : 1988; IS 1255 : 1983,Crosslinked polyethylene insulated thermoplastic sheathed cables - Part 1: For working voltage up to and including 1100 V; Code of practice for installation and maintenance of power cables up to and including 33 kV rating,Active,A. DIRECTLY_APPLICABLE (IS 7098 Part 1 for armored cable product; IS 1255 for laying/termination code of practice),"Connecting substation electrical rooms to Auto Mains Failure (AMF) generator panels requires armored low-voltage power cables (IS 7098 Part 1). The physical routing, trenching, clamping, and cable termination practice is governed by IS 1255.",High,BIS Catalogue / ETD 9 (Power Cables) / Mandatory Cables QCO,IS 7098 (Part 1) Clause 1; IS 1255 Section 6 (Installation),Armored XLPE is mandatory under CPWD electrical specifications for external feeder runs. IS 1554 (Part 1) is a recognized secondary alternative for PVC heavy-duty cables.
T004,T004-R005,"Dismantling,Shifting and reinstallation of feeder pillar, power",product_equipment,1,,IS 5039 : 1983; IS/IEC 61439-5 : 2014,Distribution pillars for voltages not exceeding 1000 V AC and 1200 V DC - Specification; Low-voltage switchgear and controlgear assemblies - Part 5: Assemblies for power distribution in public networks,Active,A. DIRECTLY_APPLICABLE (IS 5039 dedicated specification for feeder pillars; IS/IEC 61439-5 for public network distribution assemblies),"The tender specifically mandates shifting and reinstalling an electrical feeder pillar. IS 5039 is the dedicated Indian Standard specifying housing construction, busbar ratings, short-circuit withstand, and weather-proof ingress protection for feeder pillars.",High,BIS Catalogue / ETD 7 (Low Voltage Switchgear),IS 5039:1983 Scope Clause 1; IS/IEC 61439-5 Clause 1,Outdoor feeder pillars require minimum IP 55 ingress protection under IS/IEC 60529.
T005,T005-R001,"Cable connection of DG Set in Newly constructed building of the Dept. of Molecular , Human Genetics",material,1,,IS 3043 : 2018; IS 7098 (Part 1) : 1988; IS 1293 : 2019,Code of practice for earthing (Second Revision); Crosslinked polyethylene insulated cables up to 1100 V; Plugs and socket-outlets of rated voltage up to 250 V,Active,A. DIRECTLY_APPLICABLE (IS 3043 for statutory DG earthing; IS 7098 Part 1 for power cables; IS 1293 for laboratory power sockets),"Connecting a Diesel Generator requires dedicated neutral grounding and frame earthing mandated by IS 3043 (Clause 28) and Central Electricity Authority regulations. Power interconnects require armored XLPE cables (IS 7098 Part 1), and laboratory power sockets replaced in the scope must conform to IS 1293.",High,"BIS Catalogue / ETD 20 (Earthing), ETD 9 (Cables), ETD 14 (Plugs/Sockets)",IS 3043:2018 Clause 28; CEA Regulations 2010 Regulation 41; IS 1293:2019 Clause 1,Mandatory ISI certification for power sockets under Plugs and Sockets QCO.
T006,T006-R001,UPVC Partition Wall Work for Conversion of Seafood Authentication Laboratory into Conventional Microbiology Laboratory,material,1,,IS 16088 : 2016,Unplasticized Polyvinyl Chloride (uPVC) Profiles for the Fabrication of Windows and Doors - Specification,Active,A. DIRECTLY_APPLICABLE (National specification governing structural multi-chamber hollow UPVC profile sections),"Fabrication of cleanroom/laboratory partition walls using UPVC requires extrusion profiles meeting mechanical strength, impact resistance, and wall thickness specified in IS 16088. UPVC provides chemical and moisture resistance necessary for seafood microbiology labs.",High,BIS Catalogue / CED 29 (Plastic Building Components),IS 16088:2016 Clause 1 Scope,Wood-based particle boards under IS 12823 were evaluated and rejected due to moisture and sterility incompatibility with seafood microbiology facilities.
