requirement_id,requirement_text,proposed_standard,proposed_title,validation_result,validated_standard,validated_title,standard_status,standard_scope_match,applicability_reason,tender_evidence,authoritative_evidence,source_type,source_reference,qco_applicable,alternative_standards,missing_information,confidence,human_review_required
T001-R002,replacement of damaged pipelines by Hubless,IS 15905 : 2011,Cast Iron Hubless Pipes and Fittings for Waste Water and Ventilation Systems - Specification,CORRECT,IS 15905 : 2011,Cast Iron Hubless Pipes and Fittings for Waste Water and Ventilation Systems - Specification,Active,Exact Match: IS 15905 covers cast iron hubless (spigotless) drainage pipes joined with mechanical elastomeric couplings.,The tender mandates replacing damaged toilet drainage piping with Hubless pipes. IS 15905 is the sole national specification for hubless cast iron soil/waste pipes.,"eProcurement System Government of India.pdf (IIT ISM Dhanbad), Page 1 Work Description: replacement of damaged pipelines by Hubless.",BIS Catalogue / CED 53 (Pipes & Fittings); CPWD Civil Specifications 2019 Vol 2 Chapter 17 Clause 17.2.,BIS_CATALOGUE_AND_CPWD_SPEC,IS 15905:2011 Clause 1 Scope; CPWD Vol 2 Subhead 17,False,IS 1239 (Part 1) : 2004 (GI water pipes in same scope); IS 1729 (Socketed CI pipes - rejected),None for standard identification; coupling brand in BOQ,HIGH,FALSE
T001-R003,wall tiles,IS 15622 : 2017,Pressed Ceramic Tiles - Specification (First Revision),CORRECT,IS 15622 : 2017,Pressed Ceramic Tiles - Specification (First Revision),Active,"Exact Match: IS 15622 covers all pressed ceramic tiles for wall and floor finishes (water absorption groups B Ia, B Ib, B IIa, B IIb, B III).",Tender mandates replacement of wall tiles. IS 15622 is the umbrella Indian Standard for ceramic tiles and is mandatory under Central QCO.,"eProcurement System Government of India.pdf (IIT ISM Dhanbad), Page 1 Work Description: wall tiles.",Ministry of Commerce & Industry / DPIIT Ceramic Tiles (Quality Control) Order 2020 (S.O. 4467(E)); BIS CED 5.,GOVERNMENT_GAZETTE_QCO,IS 15622:2017 Clause 1 Scope; Gazette Notification S.O. 4467(E),True,IS 1443 : 1972 (Tile laying code of practice); IS 13753 (Superseded),None,HIGH,FALSE
T001-R004,upgradation of all sanitary fittings at AGL Department in Main School Building at IIT ISM Dhanbad,IS 2556 (Part 1 to 17),Vitreous Sanitary Appliances (Vitreous China) - Specification (Parts 1 to 17),PARTIALLY_CORRECT,"IS 2556 (Parts 1, 2, 4); IS 781 : 1984; IS 774 : 2021",Vitreous sanitary appliances; Cast copper alloy bib taps and stop valves; Flushing cisterns,Active,Partial Match: IS 2556 covers only porcelain fixtures. AGL toilet upgradation also includes water supply bib taps (IS 781) and cisterns (IS 774).,"The tender aggregates all sanitary fittings under one sentence. Complete coverage requires the sanitary appliance family (vitreous china, copper alloy valves, flushing cisterns).","eProcurement System Government of India.pdf (IIT ISM Dhanbad), Page 1 Work Description line 1.",BIS Catalogue / CED 3 (Sanitary Installations); CPWD Specifications 2019 Vol 2 Subhead 17.,BIS_CATALOGUE_AND_CPWD_SPEC,IS 2556:Part 1:1994; IS 781:1984; IS 774:2021,False,IS 1700 : 2000 (Drinking fountains); IS 2548 (Plastic WC seats),"Detailed fixture breakdown (European vs squatting pan, bib taps vs pillar taps) requires BOQ inspection",HIGH,FALSE
T002-R002,Valve Replacement,UNCERTAIN,Potential Candidates: Copper alloy gate/globe valves (IS 778) / Sluice valves for water works (IS 14846) / Bolted bonnet steel gate valves (IS/ISO 10434),INSUFFICIENT_INFORMATION,UNCERTAIN (Requires detailed line schedule/BOQ),"Unassigned pending technical parameters (fluid media, pressure rating, valve type)",Active (for potential candidate standards),No Match Possible: Notice text contains only generic Valve Replacement without technical parameters.,"In an industrial nuclear chemical plant (Heavy Water Board), cooling water valves follow IS 778/IS 14846, while process chemical/steam lines require bolted steel gate valves (IS/ISO 10434 or ASME B16.34). Selecting one without BOQ is speculative.","eProcurement System Government of India2.pdf (Heavy Water Board), Page 1 Work Description: Mechanical Maintenance Works including Pumps, Valve Replacement.",Heavy Water Board Tender Notice HWBFV/21/2026-27/TS-733; BIS MED 17 & CED 3 catalogues.,TENDER_NOTICE_LIMITATION,Notice HWBFV/21/2026-27/TS-733 Page 1,False,IS 778 : 1984; IS 14846 : 2000; IS/ISO 10434 : 2020; IS 13095 : 2020,"Valve type, body material, pressure class, nominal bore, service fluid (water vs steam vs synthesis gas)",LOW,TRUE
T002-R003,Flange Joint Maintenance,IS 6392 : 1971,Steel Pipe Flanges,PARTIALLY_CORRECT,IS 6392 : 1971; IS 2712 : 2020,Steel Pipe Flanges; Compressed Asbestos/Non-Asbestos Fiber Jointing Sheets - Specification,Active,"Partial Match: IS 6392 covers circular steel flanges, but flange joint maintenance inherently requires gasket replacement sheets governed by IS 2712.","Flange joint maintenance in chemical process plants requires compliance with IS 6392 for flange facings and bolt holes, and IS 2712 for jointing gaskets.","eProcurement System Government of India2.pdf (Heavy Water Board), Page 1 Work Description line 2.",BIS Catalogue / MED 17 (Piping & Gaskets).,BIS_CATALOGUE,IS 6392:1971 Scope Clause 1; IS 2712:2020 Clause 1,False,IS 7719 : 2021 (Metallic spiral wound gaskets for high pressure pipe flanges),Flange pressure class (Class 150 vs 300) from plant piping schedule,HIGH,FALSE
T003-R001,Replacement / repair of distribution boards and defective lights at various locations in main sports stadium,IS/IEC 61439-3 : 2012,Low-voltage switchgear and controlgear assemblies - Part 3: Distribution boards intended to be operated by ordinary persons (DBO),PARTIALLY_CORRECT,IS/IEC 61439-3 : 2012; IS 10322 (Part 5 / Sec 5) : 2013,Low-voltage switchgear assemblies - Part 3: Distribution boards (DBO); Luminaires - Part 5 Sec 5: Floodlights,Active,Partial Match: Proposed standard covers only the distribution boards. Defective sports lights are governed by floodlight luminaire standard IS 10322.,Requirement combines low-voltage distribution boards (IS/IEC 61439-3) and outdoor stadium sports floodlighting (IS 10322 Part 5 Sec 5). Both must be recommended.,"eProcurement System Government of India3.pdf (Indian Navy), Page 1 Work Description line 1.",BIS Catalogue / ETD 7 (Switchgear) & ETD 24 (Illumination Engineering); CPWD Electrical Specifications 2023.,BIS_CATALOGUE_AND_CPWD_SPEC,IS/IEC 61439-3 Clause 1; IS 10322 (Part 5/Sec 5) Clause 1,True (for LED luminaires under Electronics QCO),IS 16102 (LED lamps); IS 8623 (Part 3) (Withdrawn/superseded),Floodlight wattage and mounting mast height from BOQ,HIGH,FALSE
T004-R002,power cables from outside of electrical room to AMF room,IS 7098 (Part 1) : 1988,Crosslinked Polyethylene Insulated Thermoplastic Sheathed Cables - Part 1: For Working Voltage Up to and Including 1100 V,CORRECT,IS 7098 (Part 1) : 1988,Crosslinked Polyethylene Insulated Thermoplastic Sheathed Cables - Part 1: For Working Voltage Up to and Including 1100 V,Active,Exact Match: IS 7098 (Part 1) specifies LT armoured XLPE power cables up to 1100V connecting substation power to AMF panels.,Substation power feeders to AMF rooms require heavy-duty LT armoured XLPE cables governed by IS 7098 Part 1 under mandatory Cables QCO.,"eProcurement System Government of India4.pdf (CPWD), Page 1 Work Description line 1.",Ministry of Commerce & Industry / DPIIT Electrical Cables (Quality Control) Order 2023; BIS ETD 9.,GOVERNMENT_GAZETTE_QCO,IS 7098 (Part 1):1988 Clause 1; Electrical Cables QCO 2023,True,IS 1255 : 1983 (Cable installation code of practice); IS 1554 (Part 1) : 1988 (PVC cables),Conductor material (aluminium vs copper) and core cross-section from BOQ,HIGH,FALSE
T004-R005,"Dismantling,Shifting and reinstallation of feeder pillar, power",IS 5039 : 1983,Distribution Pillars for Voltages Not Exceeding 1000 V AC and 1200 V DC - Specification,CORRECT,IS 5039 : 1983,Distribution Pillars for Voltages Not Exceeding 1000 V AC and 1200 V DC - Specification,Active,Exact Match: IS 5039 is the dedicated Indian Standard for outdoor electrical feeder distribution pillars.,"Tender explicitly mandates shifting and reinstalling an electrical feeder pillar. IS 5039 specifies design, enclosure ingress protection, and busbar performance.","eProcurement System Government of India4.pdf (CPWD), Page 1 Work Description line 2.",BIS Catalogue / ETD 7 (Low Voltage Switchgear).,BIS_CATALOGUE,IS 5039:1983 Scope Clause 1,False,IS/IEC 61439-5 : 2014 (Low-voltage switchgear assemblies for public network power distribution),None for standard identity; foundation plinth details during installation,HIGH,FALSE
T005-R001,"Cable connection of DG Set in Newly constructed building of the Dept. of Molecular , Human Genetics",IS 3043 : 2018,Code of Practice for Earthing (Second Revision),PARTIALLY_CORRECT,IS 7098 (Part 1) : 1988; IS 3043 : 2018,Crosslinked Polyethylene Insulated Cables - Part 1: Up to 1100 V; Code of Practice for Earthing,Active,"Partial Match: Proposed standard covers generator earthing, but the tender specifically dictates Cable connection, which requires LT power cable standard IS 7098 Part 1.",Connecting a standby DG set requires both high-current power cables (IS 7098 Part 1) and statutory generator neutral/body earthing (IS 3043 Clause 28).,"eProcurement System Government of India5.pdf (ICMR-NARI), Page 1 Work Description line 1.",BIS Catalogue / ETD 20 & ETD 9; Central Electricity Authority (Safety & Electric Supply) Regulations.,BIS_CATALOGUE_AND_REGULATORY_STATUTE,IS 3043:2018 Clause 28; IS 7098 (Part 1) Clause 1,True (for cables under Cables QCO),IS 1293 : 2019 (Plugs and socket-outlets),DG Set kVA rating and cable run length from electrical schedule,HIGH,FALSE
T006-R001,UPVC Partition Wall Work for Conversion of Seafood Authentication Laboratory into Conventional Microbiology Laboratory,IS 16088 : 2016,Unplasticized Polyvinyl Chloride (uPVC) Profiles for the Fabrication of Windows and Doors - Specification,CORRECT,IS 16088 : 2016,Unplasticized Polyvinyl Chloride (uPVC) Profiles for the Fabrication of Windows and Doors - Specification,Active,Exact Match: IS 16088 governs extruded multi-chamber UPVC hollow profiles used in architectural partitions and frame assemblies.,Architectural cleanroom partition walls in laboratories are fabricated using extruded hollow multi-chamber UPVC profile sections specified under IS 16088.,"eProcurement System Government of India6.pdf (IIT Mandi), Page 1 Work Description line 1.",BIS Catalogue / CED 29 (Plastic Building Products).,BIS_CATALOGUE,IS 16088:2016 Scope Clause 1,False,IS 2835 : 1987 (Flat transparent sheet glass for vision panels in partitions),"Infill panel material (pre-laminated sheet, toughened glass, or UPVC sandwich panel) in BOQ",HIGH,FALSE
